bigCityFlag,cityCode,cityName,prefCode
0,19209,北杜市,19
0,19210,甲斐市,19
0,19211,笛吹市,19
0,19212,上野原市,19
0,19213,甲州市,19
0,19214,中央市,19
0,19346,市川三郷町,19
0,19364,早川町,19
0,19365,身延町,19
0,19366,南部町,19
0,19368,富士川町,19
0,19384,昭和町,19
0,19422,道志村,19
0,19423,西桂町,19
0,19424,忍野村,19
0,19425,山中湖村,19
0,19429,鳴沢村,19
0,19430,富士河口湖町,19
0,19442,小菅村,19
0,19443,丹波山村,19
0,20201,長野市,20
0,20202,松本市,20
0,20203,上田市,20
0,20204,岡谷市,20
0,20205,飯田市,20
0,20206,諏訪市,20
0,20207,須坂市,20
0,20208,小諸市,20
0,20209,伊那市,20
0,20210,駒ヶ根市,20
0,20211,中野市,20
0,20212,大町市,20
0,20213,飯山市,20
0,20214,茅野市,20
0,20215,塩尻市,20
0,20217,佐久市,20
0,20218,千曲市,20
0,20219,東御市,20
0,20220,安曇野市,20
0,20303,小海町,20
0,20304,川上村,20
0,20305,南牧村,20
0,20306,南相木村,20
0,20307,北相木村,20
0,20309,佐久穂町,20
0,20321,軽井沢町,20
0,20323,御代田町,20
0,20324,立科町,20
0,20349,青木村,20
0,20350,長和町,20
0,20361,下諏訪町,20
0,20362,富士見町,20
0,20363,原村,20
0,20382,辰野町,20
0,20383,箕輪町,20
0,20384,飯島町,20
0,20385,南箕輪村,20
0,20386,中川村,20
0,20388,宮田村,20
0,20402,松川町,20
0,20403,高森町,20
0,20404,阿南町,20
0,20407,阿智村,20
0,20409,平谷村,20
0,20410,根羽村,20
0,20411,下條村,20
0,20412,売木村,20
0,20413,天龍村,20
0,20414,泰阜村,20
0,20415,喬木村,20
0,20416,豊丘村,20
0,20417,大鹿村,20
0,20422,上松町,20
0,20423,南木曽町,20
0,20425,木祖村,20
0,20429,王滝村,20
0,20430,大桑村,20
0,20432,木曽町,20
0,20446,麻績村,20
0,20448,生坂村,20
0,20450,山形村,20
0,20451,朝日村,20
0,20452,筑北村,20
0,20481,池田町,20
0,20482,松川村,20
0,20485,白馬村,20
0,20486,小谷村,20
0,20521,坂城町,20
0,20541,小布施町,20
0,20543,高山村,20
0,20561,山ノ内町,20
0,20562,木島平村,20
0,20563,野沢温泉村,20
0,20583,信濃町,20
0,20588,小川村,20
0,20590,飯綱町,20
0,20602,栄村,20
0,21201,岐阜市,21
0,21202,大垣市,21
0,21203,高山市,21
0,21204,多治見市,21
0,21205,関市,21
0,21206,中津川市,21
0,21207,美濃市,21
0,21208,瑞浪市,21
0,21209,羽島市,21
0,21210,恵那市,21
0,21211,美濃加茂市,21
0,21212,土岐市,21
0,21213,各務原市,21
0,21214,可児市,21
0,21215,山県市,21
0,21216,瑞穂市,21
0,21217,飛騨市,21
0,21218,本巣市,21
0,21219,郡上市,21
0,21220,下呂市,21
0,21221,海津市,21
0,21302,岐南町,21
0,21303,笠松町,21
0,21341,養老町,21
0,21361,垂井町,21
0,21362,関ケ原町,21
0,21381,神戸町,21
0,21382,輪之内町,21
0,21383,安八町,21
0,21401,揖斐川町,21
0,21403,大野町,21
0,21404,池田町,21
0,21421,北方町,21
0,21501,坂祝町,21
0,21502,富加町,21
0,21503,川辺町,21
0,21504,七宗町,21
0,21505,八百津町,21
0,21506,白川町,21
0,21507,東白川村,21
0,21521,御嵩町,21
0,21604,白川村,21
2,22100,静岡市,22
1,22101,静岡市葵区,22
1,22102,静岡市駿河区,22
1,22103,静岡市清水区,22
2,22130,浜松市,22
1,22131,浜松市中区,22
1,22132,浜松市東区,22
1,22133,浜松市西区,22
1,22134,浜松市南区,22
1,22135,浜松市北区,22
1,22136,浜松市浜北区,22
1,22137,浜松市天竜区,22
0,22203,沼津市,22
0,22205,熱海市,22
0,22206,三島市,22
0,22207,富士宮市,22
0,22208,伊東市,22
0,22209,島田市,22
0,22210,富士市,22
0,22211,磐田市,22
0,22212,焼津市,22
0,22213,掛川市,22
0,22214,藤枝市,22
0,22215,御殿場市,22
